System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
HD_119130,TEP,205.37625,-9.94608,9.92,8.41,0.153,0.05,2458180.2842,0.0016,16.9841,0.0008,5725,65,65,+0.07,0.05,0.05,1.00,0.03,0.03,1.08,0.12,0.12,4.33,0.04,0.04,0.81,0.18,0.17,0.04,0.06,0.03,0.13,0.01,0.01,0.077,0.014,0.014,0.235,0.010,0.009,34.8,6.8,6.6,5.6,1.2,1.1,795,33,28,-999,-999,-999,-999,-999,-999
HD_136352b,TEP,230.45063,-48.31764,5.65,4.16,0.1640,0.02,2458944.3726,0.0016,11.57797,0.00011,5664,61,61,-0.24,0.05,0.05,0.87,0.04,0.04,1.058,0.019,0.019,4.39,0.11,0.11,0.734,0.053,0.053,0.0,0.17,0.0,0.0964,0.0028,0.0028,0.0148,0.0014,0.0014,0.1485,0.0038,0.0038,-1,-1,-1,4.22,0.54,0.50,905,14,14,-999,-999,-999,-999,-999,-999
HD_136352c,TEP,230.45063,-48.31764,5.65,4.16,0.1355,0.06,2458954.40990,0.00053,27.59221,0.00011,5664,61,61,-0.24,0.05,0.05,0.87,0.04,0.04,1.058,0.019,0.019,4.39,0.11,0.11,0.734,0.053,0.053,0.0,0.08,0.0,0.1721,0.0050,0.0050,0.0354,0.0020,0.0020,0.2601,0.0070,0.0065,-1,-1,-1,1.88,0.19,0.18,677,11,11,-999,-999,-999,-999,-999,-999
HD_136352d,TEP,230.45063,-48.31764,5.65,4.16,0.370,0.05,2459009.7759,0.0099,107.245,0.050,5664,61,61,-0.24,0.05,0.05,0.87,0.04,0.04,1.058,0.019,0.019,4.39,0.11,0.11,0.734,0.053,0.053,0.0,0.25,0.0,0.425,0.012,0.012,0.0277,0.0029,0.0029,0.2286,0.0079,0.0070,-1,-1,-1,2.16,0.32,0.30,431,7,7,-999,-999,-999,-999,-999,-999
HD_137496,TEP,231.74196,-16.50881,10.00,8.24,0.137,0.006,2458039.1317,0.0029,1.62116,0.000080,5799,61,61,-0.03,0.04,0.04,1.04,0.02,0.02,1.59,0.03,0.03,4.05,0.1,0.1,0.184,0.010,0.010,0.0,-1,-1,0.02732,0.00019,0.00019,0.0127,0.0017,0.0017,0.117,0.005,0.004,-1,-1,-1,7.9,1.6,1.4,2130,30,29,-999,-999,-999,-999,-999,-999
HD_149026,TEP,247.62342,38.34731,8.16,6.82,0.135,0.3,2454456.78760,0.00016,2.87588874,0.00000059,6147,50,50,+0.36,0.05,0.05,1.345,0.020,0.020,1.541,0.046,0.042,4.189,0.020,0.021,0.353,0.030,0.040,0.0,-1,-1,0.04313,0.00065,0.00056,0.368,0.013,0.014,0.813,0.027,0.025,13.55,0.94,1.05,0.68,0.08,0.07,1634,90,23,12,7,7,-999,-999,-999
HD_152843b,TEP,253.78487,20.49153,8.85,7.63,0.230,0.03,2458994.2831,0.0027,11.6264,0.0024,6310,100,100,-0.16,0.05,0.05,1.15,0.04,0.04,1.43,0.02,0.02,4.19,0.03,0.03,0.40,0.03,0.03,0.14,0.25,0.10,0.1053,0.0030,0.0031,0.036,0.021,0.019,0.304,0.012,0.011,-1,-1,-1,1.19,0.72,0.63,-1,-1,-1,-999,-999,-999,-999,-999,-999
HD_183579,TEP,293.28579,-54.53236,8.68,7.15,0.182,0.13,2458661.06315,0.00078,17.471278,0.000059,5788,44,44,-0.023,0.050,0.050,1.031,0.025,0.026,0.985,0.037,0.026,4.50,0.03,0.03,1.08,0.09,0.11,0.0,0.28,0.0,0.1334,0.0062,0.0063,0.062,0.013,0.012,0.316,0.013,0.011,-1,-1,-1,1.80,0.43,0.41,769,17,13,-999,-999,-999,-999,-999,-999
HD_189733,TEP,300.18213,22.71086,7.68,5.54,0.07529,2.6,2453955.525551,0.000009,2.21857520,0.00000007,5050,50,50,-0.03,0.05,0.05,0.840,0.042,0.042,0.752,0.025,0.025,4.610,0.026,0.026,1.980,0.170,0.170,0.0041,0.0025,0.0020,0.03142,0.00052,0.00052,1.150,0.039,0.039,1.151,0.038,0.038,21.5,1.2,1.2,0.75,0.07,0.07,1191,20,20,-0.4,0.2,0.2,7,12,4
HD_191939b,TEP,302.02562,66.85031,8.97,7.18,0.1272,0.11,2458715.3561,0.0004,8.88029,0.00002,5427,50,50,-0.16,0.08,0.08,0.92,0.06,0.06,0.945,0.021,0.021,4.40,0.10,0.10,1.16,0.62,0.28,0.0,-1,-1,0.089,0.010,0.012,0.0327,0.0028,0.0028,0.301,0.012,0.012,-1,-1,-1,1.1,0.2,0.2,778,58,41,-999,-999,-999,-999,-999,-999
HD_191939c,TEP,302.02562,66.85031,8.97,7.18,0.1855,0.10,2458726.0534,0.0006,28.5805,0.0002,5427,50,50,-0.16,0.08,0.08,0.92,0.06,0.06,0.945,0.021,0.021,4.40,0.10,0.10,1.16,0.62,0.28,0.0,-1,-1,0.178,0.033,0.026,0.0226,0.0044,0.0044,0.287,0.013,0.012,-1,-1,-1,1.1,0.2,0.2,550,45,45,-999,-999,-999,-999,-999,-999
HD_191939d,TEP,302.02562,66.85031,8.97,7.18,0.2302,0.10,2458743.5518,0.0007,38.3525,0.0003,5427,50,50,-0.16,0.08,0.08,0.92,0.06,0.06,0.945,0.021,0.021,4.40,0.10,0.10,1.16,0.62,0.28,0.0,-1,-1,0.216,0.011,0.011,0.0,0.0182,0.0,0.282,0.010,0.010,-1,-1,-1,0.4,0.2,0.2,499,12,11,-999,-999,-999,-999,-999,-999
HD_202772,TEP,319.69958,-26.61639,8.32,7.15,0.2345,0.3,2458338.61046,0.00024,3.308960,0.000082,6330,100,100,+0.29,0.06,0.06,1.703,0.075,0.12,2.614,0.080,0.11,3.835,0.034,0.034,0.095,0.012,0.010,0.047,0.050,0.033,0.05190,0.00075,0.0012,1.008,0.074,0.079,1.562,0.053,0.069,10.28,1.02,0.88,0.249,0.035,0.027,2132,37,33,-999,-999,-999,-999,-999,-999
HD_207897,TEP,325.18658,84.33350,8.37,6.31,0.1213,0.09,2458926.10942,0.00048,16.202159,0.000084,5070,60,57,-0.21,0.02,0.02,0.800,0.036,0.030,0.779,0.019,0.018,4.559,0.026,0.052,1.69,0.13,0.13,0.047,0.057,0.033,0.1163,0.0017,0.0015,0.0453,0.0050,0.0050,0.2231,0.0073,0.0070,22.5,2.9,2.7,3.81,0.58,0.52,632,8,7,-999,-999,-999,-999,-999,-999
HD_209458,TEP,330.79500,18.88444,7.65,6.31,0.127,2.1,2455216.405640,0.000094,3.52474859,0.00000038,6117,50,50,+0.02,0.05,0.05,1.148,0.040,0.040,1.162,0.014,0.014,4.368,0.006,0.006,0.733,0.008,0.008,0.0,-1,-1,0.04747,0.00055,0.00055,0.714,0.017,0.017,1.380,0.017,0.017,9.30,0.08,0.08,0.272,0.004,0.004,1459,12,12,1.58,0.08,0.08,-999,-999,-999
HD_213885,TEP,338.98371,-59.86483,8.00,6.42,0.061,0.02,2458379.97043,0.0012,1.008035,0.000021,5978,50,50,-0.04,0.03,0.03,1.068,0.020,0.018,1.1101,0.0080,0.0075,4.3827,0.0095,0.0097,0.799,0.023,0.023,0.0,0.16,0.0,0.05680,0.00044,0.00032,0.0278,0.0021,0.0020,0.1557,0.0045,0.0046,28.5,2.8,2.7,6.9,0.8,0.8,1265,7,8,-999,-999,-999,-999,-999,-999
HD_219134b,TEP,348.32075,57.16836,5.57,3.26,0.0394,0.036,2457126.69913,0.00087,3.092926,0.000010,4699,16,16,+0.11,0.04,0.04,0.81,0.03,0.03,0.778,0.005,0.005,4.567,0.018,0.018,1.719,0.073,0.073,0.0,0.14,0.0,0.03876,0.00047,0.00047,0.0149,0.0006,0.0006,0.1429,0.0049,0.0049,-1,-1,-1,4.76,0.54,0.54,1015,8,8,-999,-999,-999,-999,-999,-999
HD_219134c,TEP,348.32075,57.16836,5.57,3.26,0.0692,0.032,2457474.04591,0.00088,6.76458,0.00033,4699,16,16,+0.11,0.04,0.04,0.81,0.03,0.03,0.778,0.005,0.005,4.567,0.018,0.018,1.719,0.073,0.073,0.062,0.039,0.039,0.06530,0.00080,0.00080,0.0137,0.0007,0.0007,0.1348,0.0042,0.0042,-1,-1,-1,5.22,0.58,0.58,782,6,6,-999,-999,-999,-999,-999,-999
HD_219666,TEP,349.55679,-56.90389,9.90,8.16,0.0899,0.17,2458329.1996,0.0012,6.034460,0.000011,5527,65,65,+0.04,0.04,0.04,0.92,0.03,0.03,1.03,0.03,0.03,4.40,0.11,0.11,-1,-1,-1,0.0,-1,-1,0.0636,0.0027,0.0027,0.0522,0.0041,0.0041,0.420,0.015,0.015,-1,-1,-1,0.656,0.090,0.083,1073,20,20,-999,-999,-999,-999,-999,-999
HD_221416,TEP,353.03363,-21.80142,8.15,6.04,0.36,0.09,2458357.0135,0.0026,14.2762,0.0037,5080,90,90,-0.08,0.08,0.08,1.212,0.074,0.074,2.943,0.064,0.064,3.584,0.010,0.010,0.0475,0.0005,0.0005,0.113,0.034,0.030,0.1223,0.0025,0.0026,0.200,0.018,0.018,0.835,0.031,0.028,-1,-1,-1,0.343,0.048,0.045,-1,-1,-1,-999,-999,-999,-999,-999,-999
HD_271181,TEP,79.76812,-71.89553,11.47,10.12,0.205,1.0,2458328.8797,0.0006,4.231306,0.000060,6495,90,90,+0.22,0.04,0.04,1.435,0.029,0.028,1.648,0.023,0.025,4.33,0.25,0.26,0.320,0.013,0.014,0.0,0.091,0.0,0.0580,0.0014,0.0014,1.22,0.12,0.12,1.489,0.034,0.034,14.2,1.5,1.5,0.37,0.04,0.04,1669,16,14,-999,-999,-999,-999,-999,-999
HD_332231,TEP,306.74133,33.74444,8.56,7.24,0.2565,0.6,2459141.3472,0.0063,18.70173,0.00028,6089,97,96,+0.036,0.059,0.058,1.127,0.077,0.077,1.277,0.039,0.036,4.279,0.027,0.034,0.548,0.043,0.051,0.032,0.030,0.022,0.1436,0.0032,0.0033,0.251,0.017,0.017,0.867,0.027,0.025,8.04,0.78,0.77,0.356,0.035,0.033,876,17,17,-1,7,7,-999,-999,-999
HIP_00065,TEP,0.18567,-54.83081,11.13,8.29,0.03274,0.6,2458326.10418,0.00011,0.9809734,0.0000031,4590,49,49,+0.18,0.08,0.08,0.781,0.027,0.027,0.7242,0.0081,0.0091,4.611,0.011,0.010,2.054,0.060,0.052,0.0,0.02,0.0,0.01782,0.00020,0.00021,3.213,0.078,0.078,2.03,0.61,0.49,20,11,8,0.36,0.46,0.20,1411,15,15,-999,-999,-999,-999,-999,-999
HIP_67522,TEP,207.52617,-40.83581,9.88,8.16,0.2009,0.5,2458604.02371,0.00037,6.959503,0.000016,5675,75,75,-1,-1,-1,1.22,0.05,0.05,1.38,0.06,0.06,-1,-1,-1,0.448,0.055,0.049,0.059,0.193,0.046,-1,-1,-1,-1,-1,-1,0.898,0.042,0.042,-1,-1,-1,-1,-1,-1,1174,21,20,5.1,2.5,3.7,19.4,10.1,9.0
HIP_97166,TEP,296.24433,74.06275,9.85,7.92,0.06,0.09,2458691.6486,0.0007,10.28891,0.00004,5198,100,100,+0.27,0.09,0.09,0.898,0.054,0.054,0.836,0.036,0.036,4.41,0.10,0.10,1.53,0.22,0.22,0.16,0.03,0.03,0.089,0.001,0.001,0.0629,0.0047,0.0047,0.244,0.012,0.012,-1,-1,-1,4.0,0.7,0.7,642,22,22,-999,-999,-999,-999,-999,-999
HR_858b,TEP,42.98438,-30.81453,6.38,5.15,0.1129,0.02,2458409.18969,0.00084,3.58599,0.00015,6201,50,50,-0.14,0.08,0.08,1.145,0.074,0.080,1.310,0.024,0.022,4.262,0.032,0.036,0.508,0.045,0.045,0.00,0.30,0.00,0.0480,0.0010,0.0011,-1,-1,-1,0.1860,0.0061,0.0057,-1,-1,-1,-1,-1,-1,1572,22,19,-999,-999,-999,-999,-999,-999
HR_858c,TEP,42.98438,-30.81453,6.38,5.15,0.1209,0.02,2458415.6344,0.0018,5.97293,0.00057,6201,50,50,-0.14,0.08,0.08,1.145,0.074,0.080,1.310,0.024,0.022,4.262,0.032,0.036,0.508,0.045,0.045,0.00,0.19,0.00,0.0674,0.0014,0.0016,-1,-1,-1,0.1730,0.0062,0.0062,-1,-1,-1,-1,-1,-1,1326,18,16,-999,-999,-999,-999,-999,-999
HR_858d,TEP,42.98438,-30.81453,6.38,5.15,0.1431,0.02,2458409.7328,0.0019,11.2300,0.0011,6201,50,50,-0.14,0.08,0.08,1.145,0.074,0.080,1.310,0.024,0.022,4.262,0.032,0.036,0.508,0.045,0.045,0.00,0.28,0.00,0.1027,0.0022,0.0025,-1,-1,-1,0.1931,0.0077,0.0074,-1,-1,-1,-1,-1,-1,1075,15,13,-999,-999,-999,-999,-999,-999
K2-002,TEP,353.95533,0.44553,10.19,8.03,0.094,0.1,2456907.89,0.03,9.1205,0.0005,5089,50,50,-0.16,0.08,0.08,0.775,0.027,0.027,0.716,0.024,0.024,4.590,0.026,0.026,2.11,0.23,0.23,0.205,0.072,0.072,-1,-1,-1,0.037,0.004,0.004,0.226,0.016,0.016,18.2,3.7,3.1,3.14,0.81,0.81,690,14,14,-999,-999,-999,-999,-999,-999
K2-003b,TEP,172.33496,-1.45478,12.17,8.56,0.1068,0.014,2456813.41843,0.00041,10.054626,0.000011,3835,70,70,-0.01,0.09,0.09,0.62,0.06,0.06,0.60,0.06,0.06,4.66,0.05,0.05,2.49,0.43,0.43,0.0,-1,-1,0.0777,0.0024,0.0026,0.0204,0.0031,0.0029,0.204,0.021,0.021,-1,-1,-1,2.3,1.0,0.7,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-003c,TEP,172.33496,-1.45478,12.17,8.56,0.1394,0.009,2456812.28018,0.0010,24.646582,0.000041,3835,70,70,-0.01,0.09,0.09,0.62,0.06,0.06,0.60,0.06,0.06,4.66,0.05,0.05,2.49,0.43,0.43,0.0,-1,-1,0.1413,0.0044,0.0047,0.0067,0.0033,0.0033,0.158,0.016,0.016,-1,-1,-1,2.3,1.4,1.0,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-003d,TEP,172.33496,-1.45478,12.17,8.56,0.1696,0.007,2456826.22346,0.00056,44.55646,0.00011,3835,70,70,-0.01,0.09,0.09,0.62,0.06,0.06,0.60,0.06,0.06,4.66,0.05,0.05,2.49,0.43,0.43,0.0,-1,-1,0.2097,0.0065,0.0070,0.0,0.0057,0.0,0.147,0.015,0.015,-1,-1,-1,0.0,1.8,0.0,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-010b,TEP,172.12196,1.69064,12.42,10.64,0.18,0.15,2456819.5814,0.0021,19.3044,0.0012,5620,70,70,-0.07,0.07,0.07,0.92,0.05,0.05,0.98,0.08,0.08,4.50,0.08,0.08,0.98,0.24,0.24,0.31,0.16,0.18,-1,-1,-1,0.085,0.052,0.052,0.343,0.031,0.030,-1,-1,-1,2.0,1.6,1.2,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-018b,TEP,172.56046,7.58839,13.50,8.899,0.1110,0.27,2457527.91121,0.00007,32.940038,0.000009,3503,60,60,+0.12,0.16,0.16,0.495,0.004,0.004,0.469,0.010,0.010,-1,-1,-1,-1,-1,-1,0.20,0.08,0.08,0.1591,0.0004,0.0004,0.0271,0.0042,0.0042,0.242,0.006,0.006,11.5,1.9,1.9,1.8,0.3,0.3,265,5,5,-999,-999,-999,-999,-999,-999
K2-019b,TEP,174.96033,0.60358,13.00,11.16,0.1362,0.6,2456813.3767,0.0021,7.921101,0.000007,5430,60,60,+0.10,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,4.63,0.07,0.07,1.23,0.33,0.33,0.20,0.03,0.03,0.0762,0.0022,0.0022,0.102,0.005,0.005,0.624,0.018,0.018,8.4,1.2,2.7,0.252,0.061,0.058,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-019c,TEP,174.96033,0.60358,13.00,11.16,0.1536,0.25,2456817.2755,0.0022,11.90727,0.00006,5430,60,60,+0.10,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,4.63,0.07,0.07,1.23,0.33,0.33,0.21,0.03,0.03,0.1001,0.0029,0.0029,0.0340,0.0019,0.0019,0.366,0.018,0.018,9.0,2.1,2.6,0.89,0.43,0.43,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-019d,TEP,174.96033,0.60358,13.00,11.16,0.090,0.2,2456808.9207,0.0086,2.50856,0.00041,5430,60,60,+0.10,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,4.63,0.07,0.07,1.23,0.33,0.33,-1,-1,-1,-1,-1,-1,0.0,0.031,0.0,0.099,0.004,0.004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-021b,TEP,340.30371,-14.48900,12.85,9.42,0.096,0.07,2456989.4239,0.0023,9.32414,0.00061,4043,375,375,-0.11,0.13,0.13,0.64,0.11,0.11,0.60,0.10,0.10,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0731,0.0057,0.0067,-1,-1,-1,0.142,0.037,0.039,-1,-1,-1,-1,-1,-1,500,-1,-1,-999,-999,-999,-999,-999,-999
K2-021c,TEP,340.30371,-14.48900,12.85,9.42,0.096,0.10,2456988.4708,0.0019,15.50120,0.00096,4043,375,375,-0.11,0.13,0.13,0.64,0.11,0.11,0.60,0.10,0.10,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1026,0.0079,0.0094,-1,-1,-1,0.171,0.048,0.046,-1,-1,-1,-1,-1,-1,420,-1,-1,-999,-999,-999,-999,-999,-999
K2-024b,TEP,242.57371,-24.99033,11.28,9.18,0.228,0.2,2456905.8855,0.0054,20.88977,0.00035,5625,60,60,+0.34,0.04,0.04,1.07,0.06,0.06,1.16,0.04,0.40,4.29,0.05,0.05,-1,-1,-1,0.06,0.01,0.01,0.154,0.002,0.002,0.0570,0.0069,0.0066,0.482,0.018,0.018,-1,-1,-1,0.482,0.090,0.076,767,177,177,-999,-999,-999,-999,-999,-999
K2-024c,TEP,242.57371,-24.99033,11.28,9.18,0.270,0.4,2456915.4485,0.0079,42.3391,0.0012,5625,60,60,+0.34,0.04,0.04,1.07,0.06,0.06,1.16,0.04,0.40,4.29,0.05,0.05,-1,-1,-1,0.0,0.07,0.0,0.247,0.004,0.004,0.0484,0.0060,0.0057,0.669,0.027,0.027,-1,-1,-1,0.151,0.030,0.023,606,139,139,-999,-999,-999,-999,-999,-999
K2-025b,TEP,63.27342,15.24778,15.88,10.44,0.03128,1.2,2458515.64206,0.00010,3.48456408,0.00000006,3207,58,58,+0.15,0.03,0.03,0.2634,0.0077,0.0077,0.2932,0.0093,0.0093,4.944,0.031,0.031,10.4,1.1,1.1,0.428,0.050,0.049,0.0287,0.0012,0.0012,0.077,0.018,0.016,0.306,0.011,0.011,-1,-1,-1,11.0,0.9,0.9,494,11,11,3,16,16,17,11,8
K2-026b,TEP,94.20658,24.59642,14.53,10.53,0.197,0.25,2456775.16503,0.00050,14.568101,0.000020,3785,185,185,-0.13,0.15,0.15,0.560,0.100,0.100,0.520,0.080,0.080,-1,-1,-1,2.8,1.0,1.0,0.0,-1,-1,0.0962,0.0054,0.0061,-1,-1,-1,0.220,0.036,0.036,-1,-1,-1,-1,-1,-1,430,-1,-1,-999,-999,-999,-999,-999,-999
K2-027b,TEP,171.51517,1.23075,12.64,10.70,0.13,0.28,2456812.8451,0.0010,6.77145,0.00013,5248,60,60,+0.13,0.04,0.04,0.866,0.029,0.023,0.885,0.043,0.043,4.48,0.05,0.05,1.45,0.27,0.27,0.251,0.088,0.088,0.06702,0.00071,0.00071,0.097,0.014,0.014,0.400,0.021,0.021,-1,-1,-1,1.41,0.31,0.31,902,28,28,-999,-999,-999,-999,-999,-999
K2-028,TEP,335.62438,-7.95536,16.06,10.75,0.04,0.06,2457931.89780,0.00037,2.2604455,0.0000010,3214,60,60,+0.26,0.05,0.05,0.257,0.048,0.048,0.288,0.028,0.028,4.93,0.04,0.04,10.4,2.8,2.8,0.0,-1,-1,0.0191,0.0037,0.0029,-1,-1,-1,0.229,0.024,0.024,-1,-1,-1,-1,-1,-1,421,29,32,-999,-999,-999,-999,-999,-999
K2-029,TEP,62.67067,24.40206,12.56,10.06,0.0887,1.9,2453219.0095,0.0022,3.2588321,0.0000019,5358,38,38,+0.16,0.03,0.03,0.94,0.02,0.02,0.86,0.01,0.01,4.549,0.012,0.012,-1,-1,-1,0.066,0.022,0.022,0.04217,0.00024,0.00024,0.73,0.04,0.04,1.19,0.02,0.02,-1,-1,-1,0.43,0.03,0.03,1171,10,10,1.5,8.7,8.7,-999,-999,-999
K2-030,TEP,52.34196,22.29942,13.53,11.09,0.0984,1.7,2457112.988874,0.000013,4.09848116,0.00000001,5582,39,39,+0.137,0.031,0.031,0.984,0.020,0.020,0.941,0.038,0.038,4.484,0.039,0.039,1.18,0.15,0.15,0.026,0.038,0.020,0.04986,0.00033,0.00033,0.625,0.030,0.030,1.197,0.052,0.052,-1,-1,-1,0.363,0.055,0.055,1152,19,19,-999,-999,-999,-999,-999,-999
K2-031,TEP,245.44075,-23.54786,10.80,8.87,0.0409,0.6,2457191.70889,0.00024,1.257850,0.000002,5412,34,34,+0.20,0.03,0.03,1.000,0.064,0.064,0.986,0.070,0.070,4.44,0.05,0.05,-1,-1,-1,0.0,0.029,0.0,0.0220,0.0018,0.0018,1.856,0.081,0.081,1.06,0.35,0.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-032b,TEP,252.42608,-19.54283,12.31,9.82,0.1453,0.4,2456900.92676,0.00031,8.99200,0.00008,5271,39,35,-0.06,0.03,0.03,0.83,0.02,0.02,0.86,0.02,0.02,4.49,0.03,0.03,1.30,0.13,0.10,0.030,0.032,0.021,0.07950,0.00066,0.00062,0.0472,0.0057,0.0053,0.473,0.017,0.017,-1,-1,-1,0.41,0.08,0.06,837,13,14,-999,-999,-999,-999,-999,-999
K2-032c,TEP,252.42608,-19.54283,12.31,9.82,0.1813,0.12,2456899.4234,0.0017,20.66093,0.00080,5271,39,35,-0.06,0.03,0.03,0.83,0.02,0.02,0.86,0.02,0.02,4.49,0.03,0.03,1.30,0.13,0.10,0.049,0.046,0.035,0.13843,0.00115,0.00108,0.0255,0.0075,0.0075,0.280,0.011,0.010,-1,-1,-1,1.08,0.36,0.34,634,9,11,-999,-999,-999,-999,-999,-999
K2-032d,TEP,252.42608,-19.54283,12.31,9.82,0.2047,0.15,2456903.7871,0.0012,31.71701,0.00099,5271,39,35,-0.06,0.03,0.03,0.83,0.02,0.02,0.86,0.02,0.02,4.49,0.03,0.03,1.30,0.13,0.10,0.050,0.053,0.035,0.18422,0.00152,0.00144,0.0211,0.0079,0.0079,0.311,0.010,0.012,-1,-1,-1,0.65,0.26,0.26,550,8,9,-999,-999,-999,-999,-999,-999
K2-032e,TEP,252.42608,-19.54283,12.31,9.82,0.1113,0.02,2456898.8786,0.0040,4.34934,0.000039,5271,39,35,-0.06,0.03,0.03,0.83,0.02,0.02,0.86,0.02,0.02,4.49,0.03,0.03,1.30,0.13,0.10,0.043,0.048,0.030,0.04899,0.00041,0.00038,0.0066,0.0041,0.0034,0.1081,0.0046,0.0041,-1,-1,-1,4.7,3.1,2.6,1066,16,18,-999,-999,-999,-999,-999,-999
K2-033,TEP,242.56138,-19.31928,15.48,10.03,0.170,0.23,2456898.6929,0.0012,5.424865,0.000033,3540,70,70,-1,-1,-1,0.56,0.09,0.09,1.05,0.07,0.07,-1,-1,-1,0.51,0.04,0.07,0.0,-1,-1,-1,-1,-1,0.0,3.7,0.0,0.446,0.030,0.033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-034,TEP,127.57875,22.23592,11.45,10.19,0.1026,0.8,2457141.35103,0.00043,2.9956675,0.0000073,6131,47,47,+0.121,0.053,0.053,1.204,0.031,0.031,1.383,0.046,0.046,4.236,0.025,0.025,0.356,0.044,0.044,0.0,-1,-1,0.04328,0.00037,0.00037,1.649,0.098,0.098,1.217,0.053,0.053,-1,-1,-1,0.92,0.14,0.14,1670,26,26,-1,10,9,-999,-999,-999
K2-036b,TEP,169.44908,3.86639,11.80,9.45,0.0516,0.03,2456809.4684,0.0017,1.422614,0.000038,4916,35,37,-0.09,0.06,0.04,0.79,0.01,0.01,0.718,0.008,0.006,4.621,0.005,0.004,2.12,0.04,0.04,0.0,-1,-1,0.0223,0.0004,0.0004,0.0123,0.0035,0.0035,0.128,0.007,0.007,-1,-1,-1,5.4,1.9,1.6,1224,13,13,-999,-999,-999,-999,-999,-999
K2-036c,TEP,169.44908,3.86639,11.80,9.45,0.0564,0.12,2456812.8394,0.0012,5.341051,0.000026,4916,35,37,-0.09,0.06,0.04,0.79,0.01,0.01,0.718,0.008,0.006,4.621,0.005,0.004,2.12,0.04,0.04,0.0,-1,-1,0.054,0.001,0.001,0.0245,0.0072,0.0072,0.285,0.027,0.027,-1,-1,-1,1.0,0.5,0.4,788,9,9,-999,-999,-999,-999,-999,-999
K2-038b,TEP,240.03358,-23.18928,11.39,9.47,0.12,0.2,2456896.8786,0.0054,4.01593,0.00050,5757,60,60,+0.28,0.04,0.04,1.03,0.04,0.02,1.06,0.09,0.06,4.38,0.11,0.11,-1,-1,-1,0.197,0.061,0.060,0.04994,0.00048,0.00049,0.0230,0.0035,0.0031,0.137,0.012,0.012,-1,-1,-1,8.3,3.1,2.1,1266,44,50,-999,-999,-999,-999,-999,-999
K2-038c,TEP,240.03358,-23.18928,11.39,9.47,0.11,0.4,2456900.4752,0.0033,10.56103,0.00090,5757,60,60,+0.28,0.04,0.04,1.03,0.04,0.02,1.06,0.09,0.06,4.38,0.11,0.11,-1,-1,-1,0.161,0.096,0.068,0.09514,0.00091,0.00094,0.0261,0.0041,0.0041,0.204,0.023,0.023,-1,-1,-1,2.9,1.4,0.8,916,32,37,-999,-999,-999,-999,-999,-999
K2-039,TEP,338.36838,-9.02278,10.83,8.52,0.38,0.04,2456980.8236,0.0039,4.60543,0.00046,4912,60,60,+0.43,0.04,0.04,1.192,0.085,0.070,2.93,0.21,0.21,3.58,0.05,0.05,-1,-1,-1,0.152,0.084,0.066,0.0574,0.0012,0.0012,0.125,0.014,0.014,0.509,0.056,0.056,-1,-1,-1,0.88,0.35,0.24,1670,54,54,-999,-999,-999,-999,-999,-999
K2-043b,TEP,169.11713,-3.97544,15.60,11.57,0.095,0.6,2456809.8843,0.0007,3.471149,0.000078,3841,99,50,-1,-1,-1,0.571,0.111,0.055,0.542,0.049,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.402,0.039,0.017,-1,-1,-1,-1,-1,-1,939,38,19,-999,-999,-999,-999,-999,-999
K2-043c,TEP,169.11713,-3.97544,15.60,11.57,0.079,0.2,2456809.88450,0.00330,3.471140,0.000210,3841,99,50,-1,-1,-1,0.571,0.111,0.055,0.542,0.049,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.215,0.023,0.010,-1,-1,-1,-1,-1,-1,1094,44,22,-999,-999,-999,-999,-999,-999
